pathwayID,nbID
R-HSA-380994,27
R-HSA-448706,9
R-HSA-69473,79
R-HSA-9768759,7
R-HSA-168271,40
R-HSA-9824594,12
R-HSA-9858328,3
R-HSA-8951671,8
R-HSA-9931529,5
R-HSA-6803211,12
R-HSA-2871837,86
R-HSA-167160,27
R-HSA-6784531,62
R-HSA-622312,25
R-HSA-73928,41
R-HSA-5609976,1
R-HSA-216083,65
R-HSA-1299316,2
R-HSA-159230,40
R-HSA-5619072,1
R-HSA-420029,31
R-HSA-9664422,84
R-HSA-5684045,1
R-HSA-110314,28
R-HSA-6804760,19
R-HSA-69478,7
R-HSA-5579014,1
R-HSA-69563,53
R-HSA-435354,15
R-HSA-8964038,19
R-HSA-9668250,9
R-HSA-5579016,1
R-HSA-8953897,868
R-HSA-1234176,53
R-HSA-5250913,74
R-HSA-5619073,1
R-HSA-5693565,60
R-HSA-388479,6
R-HSA-73927,38
R-HSA-997272,23
R-HSA-2514853,11
R-HSA-77310,5
R-HSA-420597,7
R-HSA-5609977,1
R-HSA-112409,21
R-HSA-168188,109
R-HSA-70635,12
R-HSA-1296025,4
R-HSA-3359469,2
R-HSA-9936686,3
R-HSA-168273,152
R-HSA-9819196,18
R-HSA-5579015,1
R-HSA-2033515,1
R-HSA-190704,3
R-HSA-5579017,1
R-HSA-399954,16
R-HSA-5655302,41
R-HSA-5676934,6
R-HSA-3359467,2
R-HSA-8856688,109
R-HSA-111997,35
R-HSA-1606341,5
R-HSA-927802,117
R-HSA-167162,48
R-HSA-1483115,9
R-HSA-9968551,4
R-HSA-1483248,5
R-HSA-8863678,20
R-HSA-912446,57
R-HSA-5619070,2
R-HSA-350864,3
R-HSA-9764260,26
R-HSA-5609978,1
R-HSA-9664424,25
R-HSA-168274,43
R-HSA-9958825,73
R-HSA-5693567,107
R-HSA-399955,14
R-HSA-9036092,2
R-HSA-6782135,63
R-HSA-111996,37
R-HSA-444473,9
R-HSA-1234174,63
R-HSA-4085011,1
R-HSA-2514856,34
R-HSA-167161,48
R-HSA-9818749,8
R-HSA-442380,10
R-HSA-159231,46
R-HSA-194138,108
R-HSA-1483249,82
R-HSA-202670,13
R-HSA-5684264,16
R-HSA-5619071,1
R-HSA-168275,11
R-HSA-389542,2
R-HSA-74158,41
R-HSA-168142,96
R-HSA-9956514,1
R-HSA-525793,29
R-HSA-194441,58
R-HSA-2214320,7
R-HSA-167826,5
R-HSA-1912399,6
R-HSA-9686347,10
R-HSA-5683371,1
R-HSA-432720,37
R-HSA-9675151,16
R-HSA-399956,16
R-HSA-5619076,1
R-HSA-2559586,60
R-HSA-181429,18
R-HSA-375280,43
R-HSA-1482925,18
R-HSA-446219,65
R-HSA-168276,48
R-HSA-9763198,2
R-HSA-5579010,1
R-HSA-9833109,37
R-HSA-5661231,11
R-HSA-9769733,13
R-HSA-6790901,60
R-HSA-180534,40
R-HSA-168277,4
R-HSA-193681,3
R-HSA-5619077,1
R-HSA-9733709,27
R-HSA-9609646,243
R-HSA-2393930,10
R-HSA-162791,7
R-HSA-6806942,6
